,sentence1,sentence2,scores
23,"THE UN ISSUED CONDOLENCES TO THE FAMILIES AND REITERATED THAT IT WOULD CONTINUE TO WORK IN THE PRP, REGARDLESS OF THE DANGER SINCE THEY BELIEVE MANY INNOCENT CITIZENS ARE AT RISK AND INACTION WOULD LEAD TO MANY MORE DEATHS, ESPECIALLY OF THE MOST VULNERABLE.",AATIMO is well organized and is receiving support from an extensive underground network.,0.016137384
24,"IN THE MEAN TIME, THE GOVERNMENT BUSIED ITSELF WITH THE TASK OF FINALIZING THE PLAN TO HOLD PRESIDENTIAL ELECTIONS IN THE NEAR FUTURE.","BY LATE AFTERNOON, THE PEOPLE’S REPUBLIC OF PINELAND POPULACE BEGAN TO SHOW THEIR DISPLEASURE TO THE MANDATORY FIREARMS TURN-IN IN THE COASTAL PROVINCE.",0.012636884
25,"President Hale-Canteth and the Conservative Party (CP) party leadership are taking the news seriously, but have not yet taken any positive steps that are visible to the Minority Agrarian Reform Movement (MARM) movement.",MOSTLY CLOUDY.,0.01176687
26,Insurgents attacked four FBP checkpoints on multiple occasions with mortar-projected improvised explosive devices (IEDs) and conventional 81mm mortars.,PERSONS WOUNDED.,0.21536425
27,"MR. H.CANTETH SAID THE THREE NEW PROVINCIAL GOVERNORS WOULD PRESIDE OVER THE MOUNTAIN DISTRICT TO THE WEST, THE CENTRAL DISTRICT IN THE PIEDMONT REGION, AND THE COASTAL DISTRICT TO THE EAST.",The ROP President has not endorsed the plan publicly but is cautiously optimistic.,0.063355945
28,"Increased operations, combined with the recent captures of guerilla recruits attempting to cross into the on (W+074), may have led to the decreased activity noted from the rebels and may indicate a lull in guerilla activity.",OPCEN SGM.,0.22022814
29,SUNDAY: PARTLY SUNNY.,"1) THE ""RELATIVE CALM"" REPORTED ACROSS THE PRP AS BEING THE RESULT OF THE GOVERNMENT WORKING FOR THE PEOPLE IS MORE LIKELY THE RESULT OF THE POPULATION RESOURCE CONTROL MEASURES AND CONSTANT ACTIVITY OF THE ISC.",0.015720995
30,Multiple casualties were reported since the devices made a direct impact on the bivouac site.,"THE INVESTIGATION ON THIS MATTER CONTINUES, AS MENTIONED IN PREVIOUS REPORTS (TACREP/GHT-H089-6887 INTSUM 25).",0.018101433
31,2)  OPCEN DIRECTOR COMMENTS.,"IN THE MEAN TIME, THE GOVERNMENT BUSIED ITSELF WITH THE TASK OF FINALIZING THE PLAN TO HOLD PRESIDENTIAL ELECTIONS IN THE NEAR FUTURE.",0.015133486
32,CURRENT ANALYSIS INDICATES THAT THE ISC BELIEVE THE ABSENCE OF GUERILLA OPERATIONS IS DUE TO THE EFFECTIVENESS OF THEIR COIN OPERATIONS.,"After exiting their vehicle, the two guards walked up and activated a pressure plate wrapped in plastic that was buried near the path.",0.008904568
33,A.,ABOVE NORMAL TEMPERATURES ARE EXPECTED THROUGH THURSDAY.,0.030471308
34,The OIEPHEG is now receiving donations and financial support directly from PPP and continues to craft pro status quo agenda.,"Over the past month, HUMINT reporting and Signals Intelligence (SIGINT) combat observations from the 1 st and 4 th Congressional Districts reflect the emergence of a significantly more widespread guerilla force than was present just a month after the secession.",0.008988087
35,NFI,AATIMO continues targeting ROP military with hit-and-run attacks and has expanded outside of the limited areas seen the past to the north.,0.01414178
36,"0917R HOURS, AN EYE WITNESS REPORTED TO PRP AUTHORITIES THAT A CAUCASION WOMAN, IN HER EARLY THIRTIES, AND A YOUNG BOY, NEATLY DRESSED, WERER SEEN ON SOUTH SUMTER STREET ON THE DEAD END SIDE OF THE ROAD, JUST MINUTES BEFORE FIVE SEPARATE EXPLOSIONS DETONATED ALONG THE RAILROAD SWITCHING AREA CAUSING A TRAIN’S CARS TO DERAIL.",Groups held separate rallies in an attempt to win over the large uncommitted population base.,0.009423425
37,"CONVERSLY, THE CJTF STAFF, WHICH HAS BEEN ON THE GROUND SINCE APPROXIMATELY W+003-5, IS QUIETLY ""URGING"" THE CJSOTF TO ""MOVE THINGS ALONG.""",AWENASA initiated an armed struggle when the first settlers landed in Atlantica in the early sixteen-century.,0.010193999
38,"IT IS EXPECTED OVER THE NEXT 30-45 DAYS THIS ""PURGE"" OF ISC AND LOCAL GOVERNMENT LEADERSHIP WILL BE MORE AND MORE COMMONPLACE, AS THE PATON REGIME CONTINUES TO SOLIDIFY ITS POSITION IN ADVANCE OF THE ""PROMISED"" NATIONAL ELECTIONS.",A news conference was called at an assembly at the OIEPHEG Headquarters in the Coastal Territory to voice support for another protestant coalition opposed to the naming of David Paton as the next NPP Governor.,0.11949513
39,16 JUN 11.,"The base commander is considering increasing the base security posture and assigning a specific unit from the 1st BN, 120th Infantry to quickly react to threats.",0.0194953
40,“You never know.,"Additionally, it paved the way for US Security Assistance (SA) Foreign Internal Defense (FID) and Counter-Insurgency (COIN) Programs.",0.07884524
41,The situation is significantly complicated by their neighbors to the west who are much less interested in resolving the security issues surrounding the border.,"The currency is stable, but some cash shortages in large urban locations are known.",0.00956832
42,"Their dominant color is blue, and they wear hats tilted to the right, or wear blue-colored shoelaces on the right shoe or roll up their right pant leg.","Members of an atheist group that wanted to join the larger MARM grassroots movement also joined the event, but were rebuked by some members of the assembled minority and agrarian campaigners.",0.011248941
43,GRA suspected.,NBC Nuclear Biological and Chemical pp.,0.010852783
44,GENERAL ASSESSMENT.,"The primary targets of the COIN operation are the counties of Richmond, Moore, Hoke, Scotland, and Robeson in the Piedmont Territory.",0.012158992
45,Camp Prestor Fire Emergency Medical Services (EMS) also responded to the mass casualty event and ensuing fire.,"ROP military authorities believe this was an AATIMO improvised mortar crew.”  An empty, badly burned flatbed truck was discovered with improvised stands about 700 meters away on an abandoned dirt road.",0.01872614
46,Analyst Comments:  The number of active hate groups in NPP topped 50 for the first time and the anti LPP government “Patriot” movement expanded dramatically for the second straight year as the radical right showed continued explosive growth.,"EACH DISTRICT WILL ELECT ITS OWN GOVERNOR, AND EACH GOVERNOR IS TO REPORT DIRECTLY TO THE PRESIDENT.",0.010218797
47,"During this same time, another violent group, the GRA, carried out a number of smaller, yet destructive, attacks against police precincts in Fayetteville, Raleigh, and Wilmington.","THE MORTAR ATTACK IS BECOMING A MORE AND MORE POPULAR FORM OF RESISTANCE/GORHAB STRIKE DUE TO THE LOWER LEVEL OF RISK, HOWEVER, AS THE PRP'S FORCES BECOME MORE EFFECTIVE IN COUNTER-BATTERY FIRE, THIS MAY NOT REMAIN THE CASE FOR LONG.",0.17786439
48,The attacks are relatively small but are causing a large degree of apprehension for the forces in the garrison.,"As the security environment throughout all territories in the former NPP deteriorated over the last few months, only certain areas within the 1 st and 4 th Congressional Districts remain where guerillas clearly maintain some capability and are intent on opposing PRP security and UPA military freedom of movement.",0.08101774
49,Car bombs and suicide bombings have become common in NPP as the uprising against the ROP has become increasingly militarized with more powerful weapons being used.,"We demand that all Pinelanders have the right to form unions freely, and to strike and engage in other forms of job actions, and where the production of society is used for the benefit of all humanity, not for the private profit of a few in the SPP!” This is seen as a major push towards a vote for secession.",0.023290657
50,"It is lead by Timothy “River Rat” Justice (1967-Present), who still refuses to appear in public forums.",It is believed that they share some level cooperation with the Pineland Communist Party (PCP).,0.058290597
51,A.,(U) Peace Accord talks continue with some headway in the formation of two autonomous zones in the Mountain Territory of NPP.,0.018962871
52,"THE 3 WERE CARRYING RUCKSACKS, M16A2 RIFLES, NINE MILLIMETER PISTOLS, 60LBS OF C-4, 4 BOXES OF NON-ELECTRIC BLASTING CAPS, 3 BOXES OF M-60 FUSE IGNITERS, 10 ELECTRIC BLASTING MACHINES, AND 2 BOXES OF ELECTRIC BLASTING CAPS.",The CUIA has always had a majority White population support base in the northwest counties and AWENASA relies on the Native Atlanticans that live in the SW.,0.024895655
53,ENSURE YOU ARE DOING EVERYTHING POSSIBLE TO MITIGATE RISK AND REDUCE YOUR SIGNATURE.,NFI,0.0137969535
54,"NO UNUSUAL MASSING, OR SUSPICIOUS MOVEMENTS WERE NOTED DURING HOURS COINCIDING WITH INFILTRATION OPERATIONS ACROSS THE JSOA.","Increasingly tense clashes between protesters and police resulted in 18 arrests, Police Superintendent Harry Rarthy said.",0.088715844
55,"The group’s basic ideology is based on US black leaders, Malcolm X and Louis Farrakhan.",B.,0.13699114
56,"The Conservative Party and ROP appear to see MARM anti-corruption blogger, Dalim Taxalny as the biggest threat among the protest leaders.","PLANNING IS MOVING FORWARD, SO THE TIMELY AND ACCURATE REPORTING OF YOUR INTERACTION WITH THE RESISTANCE IS GOING TO BECOME MORE AND MORE CRITICAL.",0.013382998
57,"Hale-Canteth has taken a softer stance on the opposition since W-065, but in recent days, the pressure has risen markedly.",B.,0.019332847
58,NOW THE REAL WORK BEGINS!,PARTLY SUNNY.,0.008854056
59,Most members of these elements have openly pledged their loyalty to the ROP leadership and support the goal of reuniting Pineland.,This setting inopportunely has also fostered the desire for violent groups to pursue their individual goals.,0.17301168
60,The captors wore robes and hoods that had no markings or insignias.,AATIMO or GRA suspected.,0.02457643
61,"Furthermore, ROP officials have reported an increase of smuggling in the cross border areas between Republic of Appalachia (ROA) and the NPP.",She departed the Capitol building with her driver and two bodyguards at 2230 hours.,0.009145951
62,The impersonators are suspected of being Hispanic or Native Atlantican descent.,Further searches by the Camp Prestor Explosive Ordnance Disposal (EOD) unit revealed one additional victim-operated IED device buried two feet under the left track of the unimproved road.,0.008837809
63,The department also said uniforms were missing from all of the containers inventoried so far.,AT THE OTHER TWO POSITIONS THE PATROLS WERE ONLY ABLE TO LOCATE THE BASE PLATE IMPRESSIONS AND IDENTIFY SEVERAL BLOOD TRAILS LEADING AWAY FROM THE SITE.,0.008969587
64,"NEW RAINFALL AMOUNTS OF LESS THAN A TENTH OF AN INCH, EXCEPT HIGHER AMOUNTS POSSIBLE IN THUNDERSTORMS.",Reports of domestic abuse continue upward.,0.009351724
65,NFI,HIGH PRESSURE WILL BUILD IN FROM THE WEST BEHIND THE FRONT FOR THE WEEKEND.,0.008870638
66,SAFIRE Surface-to-Air Fire yy.,"The SPP Bureau of Investigation Chief, Godchild-Hill, reported suspicious criminal activity in Myrtle Beach, SPP.",0.011128523
67,3.,ROP and TG/CU delegations to the Peace talks reached this agreement on the autonomous status for both the SW and NW regions.,0.053847067
68,Human intelligence (HUMINT) sources reporting from Operation Copperhead indicated that PRP security forces observed flags displaying a “bear paw” being flown over positions from where the 1 st MEF unit took fire near Elizabethtown.,"Consequently, a noticeable shift in motivation is occurring within some of the insurgents conducting lethal attacks in the Piedmont Territory.",0.10420017
69,"At this point, the VEO is gathering a composition of enemy forces, movements, and other information it can use to further basic training.",The heavy hand used by the ROP riot police and other law enforcement to deal with the protest movement will probably have a harmful effect and provide more support from the uncommitted bases.,0.039565906
70,"A WILDLIFE FISH AND FOREST DEPOT IN THE VICINITY OF TROY, PRP WAS ATTACKED BY INSURGENTS AS THEY PREPARED EQUIPMENT FOR THE NEXT DAYS OPERATIONS.",THE EXPLOSION CAUSED HEAVY DAMAGE TO THE LIVING ROOM AND PRIVATE OFFICE OF THE AMBASSADOR’S QUARTERS.,0.009131645
71,THE GOVERNMENT OF AFGHANISTAN HAS FILED SUIT AGAINST THE UNITED PROVINCES OF ATLANTICS (UP) FOR CRIMES COMMITTED BY UPA ARMED FORCES UNITS AGAINST AFGHAN CITIZENS.,"(2) THIS WEEK, THE PRESIDENT OF IRAN ANNOUNCED FROM THE ISLAMIC REPUBLIC OF IRAN NAVY (IRIN) PORT OF BANDAR ABBAS THAT HE WISHED TO DEEPEN A ""STRATEGIC ALLIANCE"" WITH THE PRP.",0.14305028
72,"In some cases, citizens have to add up to 60 minutes of travel time to any route that includes a known checkpoint.","08 JUN 12, DAVIDSON COUNTY, (PIEDMONT PROVINCE), PRP.",0.010653416
73,"As the protests continue to grow, it is very possible that the minority support base and the agrarian sharecroppers will resort to more sophisticated resistance actions.",IS A SIGNIFICANT CONCERN OF CJSOTF PLANNERS CONSIDERING COURSES OF ACTION WHILE PLANNING FOR THE POSSIBLE INTRODUCTION OF SUBSTANTIAL SOF AND/OR US GENERAL PURPOSE FORCES.,0.055797223
74,"THEY WILL CONTINUE TO APPLY PRESSURE TO THE RESISTANCE, MOVING TO THE RURAL AREAS AS CALM IS BROUGHT TO THE URBAN AREAS.",B.,0.012225729
75,The TILTF falls under the direction of the ROP SIS and was formed with the purpose of being the law enforcement counterpart to the soon to be operational ROP military 1st Commando Battalion.,"THE UPA’S SENIOR ADVISORS AND GENERAL CHRISTIAN AND STAFF STRONGLY DISAGREED WITH THIS; HOWEVER THE PRP PRESIDENT IS FAVORING THE PROVINCIAL GOVERNORS, BUT WANTS MORE TIME TO THINK ABOUT IT.",0.010094527
76,Most of the civilian populace that is affected by the continued demonstrations is in NPP.,For the,0.10951194
77,SLIGHTLY BELOW NORMAL HIGHS SATURDAY OF 72-77... WITH COOL THICKNESSES (15-20 M BELOW NORMAL NING) COUNTERED BY CONSIDERABLE SUNSHINE.,Police forces on heightened alert status.,0.009375736
78,"Many were wounded after suffering serious injuries caused by shrapnel from the exploding bombs that could land, roll many meters, and then explode.","(1) THE LATEST CLASS OF “URBAN INTERNAL SECURITY GUARD” FORCES COMPLETED THEIR BASIC LAW ENFORCEMENT TRAINING AND ACCORDING TO A PRP SPOKESMAN, WILL BE OPERATIONAL BY THE END OF NEXT WEEK.",0.009313673
79,2) OPCEN DIRECTOR COMMENTS.,"(SIGACT CJTF-30-179-SUN-W+086), REPORTED BY CJTF-30, FORT JACKSON, SPP, 0534 HOURS.",0.122727945
80,"TO DATE, NO ILLICIT TRAFFIC WAS CONFISCATED AT ANY OF THE ROP’S FOUR MAIN PORTS OF LITTLE RIVER INLET, WINYAH BAY, SULLIVAN’S ISLAND WATERWAY, OR PORT ROYAL.","Analyst Comments: Out of the public forum, POTUS directed CJCS to coordinate with ROP officials for either conventional or unconventional warfare designed to eject UPA forces and restore the ROP sovereignty.",0.029091358
81,"""There are no illegal armed groups operating inside ROA.""",Many factors are affecting the civilian population in the NPP during this period.,0.009056351
82,"SO AS OF NOW, IT IS LOOKING GOOD FOR THE AIRBORNE OPTION.","Due to the reported instances of possible ethnic persecution, the ROP this week is also considering re-opening the border to refugees.",0.012320854
83,OPCEN DIRECTOR.,"HE ANNOUNCED THAT IN ANTICIPATION OF THE INEVITABLE RETURN OF THE TERRITORY TO THE NORTH TO THE GOOD AND HARDWORKING PEOPLE OF PINELAND, REFERING TO THE PRP (OLD NPP), HE WAS ESTABLISHING THREE NEW PROVINCES AND PROVENTIAL GOVERNORSHIPS IN NPP.",0.05359416
84,"AS WE PROGRESS, THE PLANNING BACK HERE IS BECOMING MORE URGENT.",The kinetic activity was predominant along most of the western checkpoints from the northwest Cherokee Tri-Border Region (TBR) to the southwest Nantahala TBR.,0.02083208
85,"UPI - Fayetteville, Piedmont Territory, NPP.","HE SAID THEY HAVE CONTACTED MONTGOMERY COUNTY IN REGARDS TO A $500,000 MARIJUANA BUST THE SAME DAY.",0.010089111
86,“People out here have a different way of life and the ‘helpers in the woods’ are not bad people.,"HOWEVER, THE NATIONAL DATA BASES CONFIRM YOUR SOURCE IS PROVIDING INCORRECT INFORMATION.",0.008878116
87,A.,"SEVERAL SWITCHES, TANK TRAINS, AND RAILS WERE SUBSEQUENTLY DAMAGED.",0.010682363
88,NFI,"After exiting their vehicle, the two guards walked up and activated a pressure plate wrapped in plastic that was buried near the path.",0.009302749
89,"THIS IS  DUE TO THE PRE-SECESSION ROP STILL MAINTAINING MOST OF THESE TYPE RECORDS IN HARD COPY, IN THE PROVINCE FOR WHICH THE INDIVIDUALS RESIDED.",The Ulster Protestant Heritage Group (UPHEG) continued to leverage violent tactics as part of their counter-protest strategies.,0.051587865
90,"(SIGACT CJTF-30-177-MAC-W+086), REPORTED BY CJTF-30, FORT JACKSON, SOUTH PINELAND PROVINCE (SPP), 1634 HOURS.",HE ATTRIBUTED THE QUIET TO THE GOVERNMENT PROGRAMS TO PROVIDE SECURITY FOR THE POPULATION.,0.13239026
91,"2) SEVERAL SOURCES HAVE STATED THAT THE CONTROLLED BURN EAST OF ALBEMARLE IN MORROW MOUNTAIN PROVINCIAL PARK, ANNOUNCED ONLY HOURS BEFORE IT BEGAN, WAS IN ACTUALITY AN ATTEMPT TO ""SMOKE OUT"" ANY GUERILLAS THAT MIGHT BE HIDING IN THE PROVINCIAL PARK.",Both of these caused a significant number of casualties.,0.12723154
92,"North South Pineland Province Secure Voice Over Internet Protocol Tactical Report Transnational Criminal Organization United Nations United Nations Security Council United Provinces of Atlantica United States US Information Data Network Exchange US Northern Command US Special Operations Command Unconventional Warfare Visit, Board, Search, and Seizure Violent Extremist Organization Wildlife, Fish, and Forest World Health Organization Wounded in Action Warrant Officer",1) THE CJSOTF INTELLIGENCE SECTION STRONGLY BELIEVES THAT THE PHONE/CELLULAR NETWORK OUTAGES IN SURRY COUNTY WERE DUE TO THE INSTALLATION AND TESTING OF MONITORING AND POSSIBLY RECORDING EQUIPMENT IN AN ATTEMPT TO GAIN GREATER CONTROL OVER WHAT IS SUSPECTED TO BE THE INSURGENTS PRIMARY MEANS OF COMMUNICATIONS.,0.010507161
93,THIS SUCCESS  DOES NOT MEAN YOU CAN REST ON YOUR LAURELS.,"The IED was estimated at 20 pounds and, “most likely was triggered by an accomplice through a command trigger, possibly a cell phone,” said the expert from the TILTF.",0.008829397
94,2.,"Three of the dead were members of a pro-sharecroppers political organization known as the CU, and the other two were affiliates of the OIEPHEG.",0.025856499
95,Investigation into the abduction of the ROP legislator in the SPP continues and is possibly linked to the GRA cell operating in the Piedmont.,"I AM MORE CONCERNED WITH CONTENT, AND YOUR ABILITY TO CONVEY THAT CONTENT THAT I AM THE NUMBER OF SLIDES WITH FANCY FONTS AND FLYING BULLETS YOU HAVE.",0.010341291
96,"FOUNDED ACROSS THE STREET, TACKED TO A TREE WAS A THREE BY FIVE CARD THAT READ “GNITS”.","SOME RUMORS ARE SPREADING ABOUT A UPA-MANAGED FACILITY, BUT TO DATE, NO SPECIFICS CAN BE CONFIRMED.",0.009547542
97,"ROP riot police seem undeterred from acting against the protesters, and this period has seen an increase in arrests and detentions, as well as beatings.",CONTINUE TO REPORT VIA WHICHEVER MEANS OF PACE YOU ARE ABLE WHILE THE SIGDET ATTEMTPTS TO RESOLVE THE ISSUE.,0.12220815
98,"MANY HAVE SOME DISTANCE TO TRAVEL SINCE SOME OF THE FORMER MEMBERS OF THE INSURGENCY DID NOT WANT TO GO BACK INTO THEIR OLD NEIGHBORHOODS, FOR FEARS OF HAVING TO ENFORCE THE LAW AGAINST FAMILY AND FRIENDS; A SMALL NUMBER DID VOLUNTEER TO REMAIN AND RETURN TO THEIR NEIGHBORHOODS IN ORDER TO HELP THEIR OLD COMMUNITIES.",The demonstrations concluded without incident just after 1500 hours.,0.2192949
99,NFI,"IN THE ROP CAPITAL, APPROXIMATELY 40,000 IRAQI DEMONSTRATORS PROTESTED THE ROP AND U.S.",0.14726849
100,"UPA relations with the Chinese and with Pyongyang are on the rise, especially in the case of Kim Jong II’s chosen successor, Kim Jong Un, who as the nation's ""supreme leader,"" fully embraced the UPA.",The situation has progressed to the point where the ROP government cannot continue avoiding the presence of the demonstrators.,0.271926
101,A.,NFI,0.029196229
102,"			(F) 0042 HRS, AN ELEMENT OF THE COUNTER-GUERILLA FORCE AND THE WFF DETAINED AND SEARCHED THE SUSPECT TRUCK AT THE INTERSECTION OF BUCKHEAD BRANCH AND PRP HIGHWAY 211.",OPCEN SGM.,0.009898317
103,"Negative effects cannot be understated, and the population at large is reacting with more violence during the demonstrations.",It is assumed he is backing down on the latter due to the sensitivities of the large Arab population in the PRP who oppose Shia and Persian expansionism.,0.014993691
104,"ASSOCIATED PRESS (AP) BALTIMORE, UPA - INCENTIVES THAT REDUCE BUSINESS OVERHEAD AND RISKS ARE BEING OFFERED TO PERSUADE RUSSIAN AND CHINESE BUSINESSES TO SET UP OPERATIONS IN THE UPA.","(CNN) -- The AATIMO claimed responsibility for the attack that involved a car bomb and insurgents disguised as women on the Fort Bragg military compound in NPP, killing seven soldiers assigned to B Company National Guard Armory, a security guard, and six passers-by, and wounding 17.",0.013955683
105,"OTHERWISE, CLEAR, WITH A LOW AROUND 37.","The group is an offshoot from an Iraqi Shiite population that conducted an uprising against the Iraqi government in the urban centers of Basra, Najaf, Karbala, and Semawa after the 1991 Gulf War.",0.022894602
106,SIGDET,Two police cruisers were also damaged.,0.052065555
107,The device was well made and triggered with a timer by remote control.,Issues ranged from funding for security forces to upcoming elections.,0.008718309
108,Suspect that the attackers evaded towards Bear Creek and may have also used a vehicle to escape.,SHERIFF DAVID GRICE SAID THE CHARGES WERE IN CONNECTION TO A BUST ON JOHN CARROLL LANE EARLIER THIS MONTH.,0.016328543
109,"THE PARATROOPERS CONDUCTED COUNTER BATTERY FIRE DEPSITE THE FIRING POSITIONS BEING LOCATED ADJACENT TO WELL DEVELOPED URBAN AREAS, QUICKLY SILENCING THE INSURGENT MORTARS.","OVERALL, REPORTING REMAINED LOW, WITH THE EXCEPTION OF THE PILOT TEAM REPORTING OF ONGOING MISSIONS IN TWO OF THE THREE TERRITORIES (PILOT TEAM OPERATIONS ARE COMPLETE IN THE MOUNTAIN TERRITORY).",0.014411856
